,sic,sicDescription,count
0,2834,Pharmaceutical Preparations,806
1,6770,Blank Checks,665
2,6798,Real Estate Investment Trusts,394
3,7372,Services-Prepackaged Software,387
4,2836,"Biological Products, (No Diagnostic Substances)",263
5,6022,State Commercial Banks,262
6,6021,National Commercial Banks,219
7,3841,Surgical & Medical Instruments & Apparatus,200
8,7389,"Services-Business Services, NEC",191
9,1311,Crude Petroleum & Natural Gas,167
10,6199,Finance Services,147
11,7374,Services-Computer Processing & Data Preparation,138
12,4911,Electric Services,137
13,3674,Semiconductors & Related Devices,126
14,7370,"Services-Computer Programming, Data Processing, Etc.",115
15,1040,Gold and Silver Ores,113
16,6331,"Fire, Marine & Casualty Insurance",108
17,6029,"Commercial Banks, NEC",105
18,1000,Metal Mining,98
19,6221,Commodity Contracts Brokers & Dealers,92
20,6282,Investment Advice,82
21,6500,Real Estate,79
22,3711,Motor Vehicles & Passenger Car Bodies,75
23,7371,Services-Computer Programming Services,73
24,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",70
25,8200,Services-Educational Services,67
26,4412,Deep Sea Foreign Transportation of  Freight,64
27,8742,Services-Management Consulting Services,64
28,5812,Retail-Eating  Places,63
29,4813,Telephone Communications (No Radiotelephone),62
30,2833,Medicinal Chemicals & Botanical Products,62
31,6311,Life Insurance,59
32,3845,Electromedical & Electrotherapeutic Apparatus,59
33,7373,Services-Computer Integrated Systems Design,57
34,6211,"Security Brokers, Dealers & Flotation Companies",57
35,3714,Motor Vehicle Parts & Accessories,57
36,6035,"Savings Institution, Federally Chartered",56
37,4931,Electric & Other Services Combined,53
38,8880,American Depositary Receipts,52
39,6111,Federal & Federally-Sponsored Credit Agencies,48
40,7900,Services-Amusement & Recreation Services,47
41,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",46
42,3663,Radio & Tv Broadcasting & Communications Equipment,45
43,5961,Retail-Catalog & Mail-Order Houses,44
44,2080,Beverages,44
45,8071,Services-Medical Laboratories,44
46,4922,Natural Gas Transmission,44
47,7990,Services-Miscellaneous Amusement & Recreation,41
48,6036,"Savings Institutions, Not Federally Chartered",39
49,4400,Water Transportation,39
50,100,Agricultural Production-Crops,39
51,2000,Food and Kindred Products,38
52,6411,"Insurance Agents, Brokers & Service",37
53,8000,Services-Health Services,37
54,3826,Laboratory Analytical Instruments,36
55,2860,Industrial Organic Chemicals,35
56,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),35
57,3669,"Communications Equipment, NEC",35
58,7011,Hotels & Motels,34
59,7310,Services-Advertising,33
60,5900,Retail-Miscellaneous Retail,31
61,1531,Operative Builders,31
62,4700,Transportation Services,30
63,5990,"Retail-Retail Stores, NEC",30
64,7200,Services-Personal Services,29
65,4512,"Air Transportation, Scheduled",29
66,4841,Cable & Other Pay Television Services,29
67,2844,"Perfumes, Cosmetics & Other Toilet Preparations",28
68,5500,Retail-Auto Dealers & Gasoline Stations,27
69,4610,Pipe Lines (No Natural Gas),27
70,3721,Aircraft,27
71,4833,Television Broadcasting Stations,26
72,8731,Services-Commercial Physical & Biological Research,26
73,3620,Electrical Industrial Apparatus,25
74,1389,"Oil & Gas Field Services, NEC",25
75,6512,Opeators of  Nonresidential Buildings,25
76,7363,Services-Help Supply Services,25
77,4899,"Communications Services, NEC",24
78,2911,Petroleum Refining,24
79,2835,In Vitro & In Vivo Diagnostic Substances,23
80,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,23
81,3559,"Special Industry Machinery, NEC",23
82,1381,Drilling Oil & Gas Wells,23
83,3949,"Sporting & Athletic Goods, NEC",22
84,4812,Radiotelephone Communications,22
85,7359,"Services-Equipment Rental & Leasing, NEC",22
86,7311,Services-Advertising Agencies,21
87,3829,"Measuring & Controlling Devices, NEC",21
88,3990,Miscellaneous Manufacturing Industries,20
89,5810,Retail-Eating & Drinking Places,20
90,3679,"Electronic Components, NEC",20
91,3823,"Industrial Instruments For Measurement, Display, and Control",20
92,1700,Construction - Special Trade Contractors,20
93,4941,Water Supply,20
94,4522,"Air Transportation, Nonscheduled",20
95,6794,Patent Owners & Lessors,20
96,6531,Real Estate Agents & Managers (For Others),20
97,3569,"General Industrial Machinery & Equipment, NEC",19
98,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",19
99,3577,"Computer Peripheral Equipment, NEC",19
100,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",19
101,8090,"Services-Misc Health & Allied Services, NEC",19
102,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",19
103,2800,Chemicals & Allied Products,19
104,8011,Services-Offices & Clinics of  Doctors of  Medicine,18
105,3576,Computer Communications Equipment,18
106,4832,Radio Broadcasting Stations,18
107,2870,Agricultural Chemicals,18
108,7812,Services-Motion Picture & Video Tape Production,17
109,3533,Oil & Gas Field Machinery & Equipment,17
110,1090,Miscellaneous Metal Ores,17
111,3661,Telephone & Telegraph Apparatus,17
112,4924,Natural Gas Distribution,16
113,6141,Personal Credit Institutions,16
114,5960,Retail-Nonstore Retailers,16
115,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",16
116,4731,Arrangement of  Transportation of  Freight & Cargo,16
117,3089,"Plastics Products, NEC",16
118,3670,Electronic Components & Accessories,16
119,2086,Bottled & Canned Soft Drinks & Carbonated Waters,15
120,4213,Trucking (No Local),15
121,3590,Misc Industrial & Commercial Machinery & Equipment,15
122,7510,Services-Auto Rental & Leasing (No Drivers),15
123,3651,Household Audio & Video Equipment,15
124,6799,"Investors, NEC",15
125,5331,Retail-Variety Stores,15
126,2510,Household Furniture,14
127,2810,Industrial Inorganic Chemicals,14
128,2890,Miscellaneous Chemical Products,14
129,4953,Refuse Systems,14
130,3672,Printed Circuit Boards,14
131,3751,"Motorcycles, Bicycles & Parts",14
132,3825,Instruments For Meas & Testing of  Electricity & Elec Signals,13
133,5411,Retail-Grocery Stores,13
134,5912,Retail-Drug Stores and Proprietary Stores,13
135,3420,"Cutlery, Handtools & General Hardware",13
136,7380,Services-Miscellaneous Business Services,13
137,5600,Retail-Apparel & Accessory Stores,13
138,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,13
139,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",13
140,1600,Heavy Construction Other Than Bldg Const - Contractors,13
141,3790,Miscellaneous Transportation Equipment,13
142,6552,Land Subdividers & Developers (No Cemeteries),12
143,8741,Services-Management Services,12
144,1382,Oil & Gas Field Exploration Services,12
145,5065,"Wholesale-Electronic Parts & Equipment, NEC",12
146,4955,Hazardous Waste Management,12
147,3843,Dental Equipment & Supplies,12
148,3490,Miscellaneous Fabricated Metal Products,12
149,5940,Retail-Miscellaneous Shopping Goods Stores,12
150,3640,Electric Lighting & Wiring Equipment,12
151,700,Agricultural Services,11
152,6324,Hospital & Medical Service Plans,11
153,5651,Retail-Family Clothing Stores,11
154,3728,"Aircraft Parts & Auxiliary Equipment, NEC",11
155,6189,Asset-Backed Securities,11
156,6163,Loan Brokers,11
157,2111,Cigarettes,11
158,3510,Engines & Turbines,11
159,7500,"Services-Automotive Repair, Services & Parking",11
160,8711,Services-Engineering Services,11
161,7819,Services-Allied To Motion Picture Production,11
162,5150,Wholesale-Farm Product Raw Materials,11
163,7350,Services-Miscellaneous Equipment Rental & Leasing,10
164,3760,Guided Missiles & Space Vehicles & Parts,10
165,4581,"Airports, Flying Fields & Airport Terminal Services",10
166,5190,Wholesale-Miscellaneous Nondurable Goods,10
167,3861,Photographic Equipment & Supplies,10
168,3827,Optical Instruments & Lenses,10
169,3560,General Industrial Machinery & Equipment,10
170,3621,Motors & Generators,10
171,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",10
172,2090,Miscellaneous Food Preparations & Kindred Products,10
173,6351,Surety Insurance,9
174,8050,Services-Nursing & Personal Care Facilities,9
175,6153,Short-Term Business Credit Institutions,9
176,2040,Grain Mill Products,9
177,4210,Trucking & Courier Services (No Air),9
178,1520,General Bldg Contractors - Residential Bldgs,9
179,3851,Ophthalmic Goods,9
180,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",9
181,3844,X-Ray Apparatus & Tubes & Related Irradiation Apparatus,9
182,1220,Silver Ores,9
183,5140,Wholesale-Groceries & Related Products,9
184,6792,Oil Royalty Traders,9
185,8082,Services-Home Health Care Services,9
186,2070,Fats & Oils,8
187,6519,"Lessors of  Real Property, NEC",8
188,2060,Sugar & Confectionery Products,8
189,6159,Miscellaneous Business Credit Institution,8
190,6162,Mortgage Bankers & Loan Correspondents,8
191,3440,Fabricated Structural Metal Products,8
192,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",8
193,2082,Malt Beverages,8
194,4932,Gas & Other Services Combined,8
195,4011,"Railroads, Line-Haul Operating",8
196,8062,"Services-General Medical & Surgical Hospitals, NEC",8
197,3944,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)",8
198,3630,Household Appliances,8
199,3523,Farm Machinery & Equipment,8
200,1623,"Water, Sewer, Pipeline, Comm & Power Line Construction",8
201,6361,Title Insurance,8
202,3561,Pumps & Pumping Equipment,8
203,5531,Retail-Auto & Home Supply Stores,8
204,3730,Ship & Boat Building & Repairing,8
205,5141,"Wholesale-Groceries, General Line",8
206,5130,"Wholesale-Apparel, Piece Goods & Notions",7
207,4822,Telegraph & Other Message Communications,7
208,3350,Rolling Drawing & Extruding of  Nonferrous Metals,7
209,2731,Books: Publishing or  Publishing & Printing,7
210,5080,"Wholesale-Machinery, Equipment & Supplies",7
211,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",7
212,5045,Wholesale-Computers & Peripheral Equipment & Software,7
213,7381,"Services-Detective, Guard & Armored Car Services",7
214,2711,Newspapers: Publishing or  Publishing & Printing,7
215,3433,"Heating Equipment, Except Electric & Warm Air Furnaces",7
216,4923,Natural Gas Transmisison & Distribution,7
217,3743,Railroad Equipment,7
218,6510,Real Estate Operators (No Developers) & Lessors,7
219,3578,Calculating & Accounting Machines (No Electronic Computers),7
220,6795,Mineral Royalty Traders,7
221,200,Agricultural Prod-Livestock & Animal Specialties,7
222,3531,Construction Machinery & Equip,7
223,3571,Electronic Computers,7
224,7361,Services-Employment Agencies,7
225,3140,"Footwear, (No Rubber)",7
226,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",7
227,2750,Commercial Printing,7
228,5200,"Retail-Building Materials, Hardware, Garden Supply",7
229,6321,Accident & Health Insurance,7
230,2621,Paper Mills,7
231,2820,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)",6
232,3241,"Cement, Hydraulic",6
233,2033,"Canned, Fruits, Veg, Preserves, Jams & Jellies",6
234,5400,Retail-Food Stores,6
235,8093,"Services-Specialty Outpatient Facilities, NEC",6
236,5712,Retail-Furniture Stores,6
237,5700,"Retail-Home Furniture, Furnishings & Equipment Stores",6
238,7320,"Services-Consumer Credit Reporting, Collection Agencies",6
239,7997,Services-Membership Sports & Recreation Clubs,6
240,5084,Wholesale-Industrial Machinery & Equipment,6
241,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip,6
242,3724,Aircraft Engines & Engine Parts,6
243,7000,"Hotels, Rooming Houses, Camps & Other Lodging Places",6
244,7340,Services-To Dwellings & Other Buildings,6
245,3713,Truck & Bus Bodies,6
246,7830,Services-Motion Picture Theaters,6
247,6399,"Insurance Carriers, NEC",6
248,5040,Wholesale-Professional & Commercial Equipment & Supplies,6
249,1221,Bituminous Coal & Lignite Surface Mining,6
250,7822,Services-Motion Picture & Video Tape Distribution,6
251,3600,Electronic & Other Electrical Equipment (No Computer Equip),6
252,5211,Retail-Lumber & Other Building Materials Dealers,6
253,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),6
254,5099,"Wholesale-Durable Goods, NEC",5
255,5051,Wholesale-Metals Service Centers & of fices,5
256,3100,Leather & Leather Products,5
257,5311,Retail-Department Stores,5
258,1731,Electrical Work,5
259,5030,Wholesale-Lumber & Other Construction Materials,5
260,3411,Metal Cans,5
261,3572,Computer Storage Devices,5
262,2430,"Millwood, Veneer, Plywood, & Structural Wood Members",5
263,2020,Dairy Products,5
264,2650,Paperboard Containers & Boxes,5
265,3443,Fabricated Plate Work (Boiler Shops),5
266,3442,"Metal Doors, Sash, Frames, Moldings & Trim",5
267,3021,Rubber & Plastics Footwear,5
268,3317,Steel Pipe & Tubes,5
269,2011,Meat Packing Plants,5
270,3272,"Concrete Products, Except Block & Brick",5
271,5661,Retail-Shoe Stores,5
272,5172,Wholesale-Petroleum & Petroleum Products (No Bulk Stations),5
273,2721,Periodicals: Publishing or  Publishing & Printing,4
274,5621,Retail-Women's Clothing Stores,4
275,5171,Wholesale-Petroleum Bulk Stations & Terminals,4
276,2451,Mobile Homes,4
277,2400,Lumber & Wood Products (No Furniture),4
278,3060,"Fabricated Rubber Products, NEC",4
279,3634,Electric Housewares & Fans,4
280,3357,Drawing & Insulating of  Nonferrous Wire,4
281,3570,Computer & office Equipment,4
282,3470,"Coating, Engraving & Allied Services",4
283,3873,"Watches, Clocks, Clockwork Operated Devices/Parts",4
284,3550,Special Industry Machinery (No Metalworking Machinery),4
285,3910,"Jewelry, Silverware & Plated Ware",4
286,8734,Services-Testing Laboratories,4
287,3720,Aircraft & Parts,4
288,3460,Metal Forgings & Stampings,4
289,8744,Services-Facilities Support Management Services,4
290,8700,"Services-Engineering, Accounting, Research, Management",4
291,5047,"Wholesale-Medical, Dental & Hospital Equipment & Supplies",4
292,3678,Electronic Connectors,4
293,4513,Air Courier Services,4
294,3580,Refrigeration & Service Industry Machinery,4
295,3612,"Power, Distribution & Specialty Transformers",4
296,3430,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",4
297,5072,Wholesale-Hardware,4
298,3613,Switchgear & Switchboard Apparatus,4
299,8060,Services-Hospitals,4
300,3540,Metalworkg Machinery & Equipment,4
301,3530,"Construction, Mining & Materials Handling Machinery & Equip",3
302,7841,Services-Video Tape Rental,3
303,3390,Miscellaneous Primary Metal Products,3
304,5160,Wholesale-Chemicals & Allied Products,3
305,2511,"Wood Household Furniture, (No Upholstered)",3
306,6513,Operators of  Apartment Buildings,3
307,3821,Laboratory Apparatus & Furniture,3
308,6099,"Functions Related To Depository Banking, NEC",3
309,3562,Ball & Roller Bearings,3
310,2273,Carpets & Rugs,3
311,7330,"Services-Mailing, Reproduction, Commercial Art & Photography",3
312,3677,"Electronic Coils, Transformers & Other Inductors",3
313,7600,Services-Miscellaneous Repair Services,3
314,8900,"Services-Services, NEC",3
315,3555,Printing Trades Machinery & Equipment,3
316,2050,Bakery Products,3
317,5944,Retail-Jewelry Stores,3
318,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",3
319,3211,Flat Glass,3
320,5090,Wholesale-Misc Durable Goods,3
321,3334,Primary Production of  Aluminum,3
322,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,3
323,5734,Retail-Computer & Computer Software Stores,3
324,5731,"Retail-Radio, Tv & Consumer Electronics Stores",3
325,5010,Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies,3
326,8051,Services-Skilled Nursing Care Facilities,3
327,4991,Cogeneration Services & Small Power Producers,3
328,5050,Wholesale-Metals & Minerals (No Petroleum),3
329,5000,Wholesale-Durable Goods,3
330,3716,Motor Homes,2
331,2741,Miscellaneous Publishing,2
332,2330,"Women's, Misses':  and Juniors Outerwear",2
333,2390,Miscellaneous Fabricated Textile Products,2
334,2211,"Broadwoven Fabric Mills, Cotton",2
335,5013,Wholesale-Motor Vehicle Supplies & New Parts,2
336,7331,Services-Direct Mail Advertising Services,2
337,3360,Nonferrous Foundries (Castings),2
338,2100,Tobacco Products,2
339,5412,Retail-Convenience Stores,2
340,3579,"Office Machines, NEC",2
341,5063,"Wholesale-Electrical Apparatus & Equipment, Wiring Supplies ",2
342,3231,"Glass Products, Made of  Purchased Glass",2
343,3290,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",2
344,2421,"Sawmills & Planting Mills, General",2
345,3822,Auto Controls For Regulating Residential & Comml Environments,2
346,900,"Fishing, Hunting and Trapping",2
347,3341,Secondary Smelting & Refining of  Nonferrous Metals,2
348,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",2
349,2780,"Blankbooks, Looseleaf Binders & Bookbindg & Relatd Work",2
350,2673,"Plastics, Foil & Coated Paper Bags",2
351,3330,Primary Smelting & Refining of  Nonferrous Metals,2
352,3448,Prefabricated Metal Buildings & Components,2
353,5180,"Wholesale-Beer, Wine & Distilled Alcoholic Beverages",2
354,2611,Pulp Mills,2
355,7948,"Services-Racing, Including Track Operation",2
356,2842,"Specialty Cleaning, Polishing and Sanitation Preparations",2
357,2015,Poultry Slaughtering and Processing,2
358,2013,Sausages & Other Prepared Meat Products,2
359,2891,Adhesives & Sealants,2
360,2990,Miscellaneous Products of  Petroleum & Coal,2
361,2522,Office Furniture (No Wood),2
362,3537,"Industrial Trucks, Tractors, Trailors & Stackers",2
363,3011,Tires & Inner Tubes,2
364,1540,General Bldg Contractors - Nonresidential Bldgs,2
365,3050,"Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose",2
366,3824,Totalizing Fluid Meters & Counting Devices,2
367,2024,Ice Cream & Frozen Desserts,1
368,8351,Services-Child Day Care Services,1
369,8111,Services-Legal Services,1
370,7829,Services-Allied To Motion Picture Distribution,1
371,800,Forestry,1
372,3086,Plastics Foam Products,1
373,2052,Cookies & Crackers,1
374,4100,Local & Suburban Transit & Interurban Hwy Passenger Trans,1
375,3260,Pottery & Related Products,1
376,4950,Sanitary Services,1
377,3281,Cut Stone & Stone Products,1
378,4900,"Electric, Gas & Sanitary Services",1
379,3320,Iron & Steel Foundries,1
380,4220,Public Warehousing & Storage,1
381,4013,Railroad Switching & Terminal Establishments,1
382,5094,"Wholesale-Jewelry, Watches, Precious Stones & Metals",1
383,3942,Dolls & Stuffed Toys,1
384,3524,Lawn & Garden Tractors & Home Lawn & Gardens Equip,1
385,3541,"Machine Tools, Metal Cutting Types",1
386,3715,Truck Trailers,1
387,3567,Industrial Process Furnaces & Ovens,1
388,3652,Phonograph Records & Prerecorded Audio Tapes & Disks,1
389,5031,"Wholesale-Lumber, Plywood, Millwork & Wood Panels",1
390,5110,Wholesale-Paper & Paper Products,1
391,7377,Services-Computer Rental & Leasing,1
392,2540,"Partitions, Shelvg, Lockers, & of fice & Store Fixtures",1
393,2092,Prepared Fresh or  Frozen Fish & Seafoods,1
394,2200,Textile Mill Products,1
395,2221,"Broadwoven Fabric Mills, Man Made Fiber & Silk",1
396,2340,"Women's, Misses':  Children's & Infants' Undergarments",1
397,2520,Office Furniture,1
398,2531,Public Bldg & Related Furniture,1
399,2600,Papers & Allied Products,1
400,3221,Glass Containers,1
401,2631,Paperboard Mills,1
402,2761,Manifold Business Forms,1
403,5945,"Retail-Hobby, Toy & Game Shops",1
404,5735,Retail-Record & Prerecorded Tape Stores,1
405,3080,Miscellaneous Plastics Products,1
406,3081,Unsupported Plastics Film & Sheet,1
407,9995,Non-Operating Establishments,1
